,Unnamed: 0,lat,long,fc_loss,fc_gain,awb,interpolated_AMT,interpolated_AMP
0,0,-89.5,-179.5,,,,-47.8,0.7
1,1,-89.5,-178.5,,,,-47.8,0.7
2,2,-89.5,-177.5,,,,-47.8,0.7
3,3,-89.5,-176.5,,,,-47.75,0.7
4,4,-89.5,-175.5,,,,-47.75,0.7
5,5,-89.5,-174.5,,,,-47.75,0.7
6,6,-89.5,-173.5,,,,-47.7,0.7
7,7,-89.5,-172.5,,,,-47.7,0.7
8,8,-89.5,-171.5,,,,-47.7,0.7
9,9,-89.5,-170.5,,,,-47.7,0.7
10,10,-89.5,-169.5,,,,-47.7,0.7
11,11,-89.5,-168.5,,,,-47.65,0.7
12,12,-89.5,-167.5,,,,-47.65,0.7
13,13,-89.5,-166.5,,,,-47.65,0.7
14,14,-89.5,-165.5,,,,-47.65,0.7
15,15,-89.5,-164.5,,,,-47.65,0.7
16,16,-89.5,-163.5,,,,-47.599999999999994,0.7
17,17,-89.5,-162.5,,,,-47.599999999999994,0.7
18,18,-89.5,-161.5,,,,-47.599999999999994,0.7
19,19,-89.5,-160.5,,,,-47.599999999999994,0.7
20,20,-89.5,-159.5,,,,-47.599999999999994,0.7
21,21,-89.5,-158.5,,,,-47.599999999999994,0.7
22,22,-89.5,-157.5,,,,-47.599999999999994,0.7
23,23,-89.5,-156.5,,,,-47.599999999999994,0.7
24,24,-89.5,-155.5,,,,-47.599999999999994,0.7
25,25,-89.5,-154.5,,,,-47.55,0.7
26,26,-89.5,-153.5,,,,-47.55,0.7
27,27,-89.5,-152.5,,,,-47.55,0.7
28,28,-89.5,-151.5,,,,-47.55,0.7
29,29,-89.5,-150.5,,,,-47.55,0.7
30,30,-89.5,-149.5,,,,-47.55,0.7
31,31,-89.5,-148.5,,,,-47.55,0.7
32,32,-89.5,-147.5,,,,-47.55,0.7
33,33,-89.5,-146.5,,,,-47.55,0.7
34,34,-89.5,-145.5,,,,-47.55,0.7
35,35,-89.5,-144.5,,,,-47.55,0.7
36,36,-89.5,-143.5,,,,-47.5,0.7
37,37,-89.5,-142.5,,,,-47.5,0.7
38,38,-89.5,-141.5,,,,-47.5,0.7
39,39,-89.5,-140.5,,,,-47.5,0.7
40,40,-89.5,-139.5,,,,-47.5,0.7
41,41,-89.5,-138.5,,,,-47.45,0.7
42,42,-89.5,-137.5,,,,-47.45,0.7
43,43,-89.5,-136.5,,,,-47.45,0.7
44,44,-89.5,-135.5,,,,-47.45,0.7
45,45,-89.5,-134.5,,,,-47.45,0.7
46,46,-89.5,-133.5,,,,-47.45,0.7
47,47,-89.5,-132.5,,,,-47.4,0.7
48,48,-89.5,-131.5,,,,-47.4,0.7
49,49,-89.5,-130.5,,,,-47.4,0.7
50,50,-89.5,-129.5,,,,-47.4,0.7
51,51,-89.5,-128.5,,,,-47.4,0.7
52,52,-89.5,-127.5,,,,-47.4,0.7
53,53,-89.5,-126.5,,,,-47.349999999999994,0.7
54,54,-89.5,-125.5,,,,-47.349999999999994,0.7
55,55,-89.5,-124.5,,,,-47.349999999999994,0.7
56,56,-89.5,-123.5,,,,-47.349999999999994,0.7
57,57,-89.5,-122.5,,,,-47.349999999999994,0.7
58,58,-89.5,-121.5,,,,-47.349999999999994,0.7
59,59,-89.5,-120.5,,,,-47.349999999999994,0.7
60,60,-89.5,-119.5,,,,-47.3,0.7
61,61,-89.5,-118.5,,,,-47.3,0.7
62,62,-89.5,-117.5,,,,-47.3,0.7
63,63,-89.5,-116.5,,,,-47.3,0.7
64,64,-89.5,-115.5,,,,-47.3,0.7
65,65,-89.5,-114.5,,,,-47.3,0.7
66,66,-89.5,-113.5,,,,-47.3,0.7
67,67,-89.5,-112.5,,,,-47.3,0.75
68,68,-89.5,-111.5,,,,-47.3,0.7
69,69,-89.5,-110.5,,,,-47.3,0.7
70,70,-89.5,-109.5,,,,-47.3,0.75
71,71,-89.5,-108.5,,,,-47.3,0.75
72,72,-89.5,-107.5,,,,-47.25,0.75
73,73,-89.5,-106.5,,,,-47.25,0.75
74,74,-89.5,-105.5,,,,-47.25,0.75
75,75,-89.5,-104.5,,,,-47.25,0.75
76,76,-89.5,-103.5,,,,-47.25,0.75
77,77,-89.5,-102.5,,,,-47.25,0.75
78,78,-89.5,-101.5,,,,-47.25,0.7
79,79,-89.5,-100.5,,,,-47.25,0.7
80,80,-89.5,-99.5,,,,-47.25,0.7
81,81,-89.5,-98.5,,,,-47.2,0.7
82,82,-89.5,-97.5,,,,-47.2,0.7
83,83,-89.5,-96.5,,,,-47.2,0.65
84,84,-89.5,-95.5,,,,-47.2,0.65
85,85,-89.5,-94.5,,,,-47.2,0.65
86,86,-89.5,-93.5,,,,-47.15,0.65
87,87,-89.5,-92.5,,,,-47.15,0.65
88,88,-89.5,-91.5,,,,-47.15,0.65
89,89,-89.5,-90.5,,,,-47.25,0.75
90,90,-89.5,-89.5,,,,-47.25,0.75
91,91,-89.5,-88.5,,,,-47.25,0.75
92,92,-89.5,-87.5,,,,-47.25,0.75
93,93,-89.5,-86.5,,,,-47.25,0.75
94,94,-89.5,-85.5,,,,-47.25,0.75
95,95,-89.5,-84.5,,,,-47.25,0.75
96,96,-89.5,-83.5,,,,-47.2,0.75
97,97,-89.5,-82.5,,,,-47.2,0.75
98,98,-89.5,-81.5,,,,-47.2,0.75
99,99,-89.5,-80.5,,,,-47.2,0.75
100,100,-89.5,-79.5,,,,-47.2,0.75
101,101,-89.5,-78.5,,,,-47.2,0.75
102,102,-89.5,-77.5,,,,-47.2,0.75
103,103,-89.5,-76.5,,,,-47.2,0.75
104,104,-89.5,-75.5,,,,-47.2,0.75
105,105,-89.5,-74.5,,,,-47.25,0.75
106,106,-89.5,-73.5,,,,-47.25,0.75
107,107,-89.5,-72.5,,,,-47.25,0.7
108,108,-89.5,-71.5,,,,-47.25,0.7
109,109,-89.5,-70.5,,,,-47.25,0.7
110,110,-89.5,-69.5,,,,-47.25,0.7
111,111,-89.5,-68.5,,,,-47.25,0.7
112,112,-89.5,-67.5,,,,-47.25,0.7
113,113,-89.5,-66.5,,,,-47.25,0.6499999999999999
114,114,-89.5,-65.5,,,,-47.25,0.6499999999999999
115,115,-89.5,-64.5,,,,-47.25,0.6499999999999999
116,116,-89.5,-63.5,,,,-47.25,0.6499999999999999
117,117,-89.5,-62.5,,,,-47.25,0.6499999999999999
118,118,-89.5,-61.5,,,,-47.25,0.6499999999999999
119,119,-89.5,-60.5,,,,-47.25,0.6499999999999999
120,120,-89.5,-59.5,,,,-47.25,0.6499999999999999
121,121,-89.5,-58.5,,,,-47.25,0.6499999999999999
122,122,-89.5,-57.5,,,,-47.25,0.6499999999999999
123,123,-89.5,-56.5,,,,-47.25,0.6499999999999999
124,124,-89.5,-55.5,,,,-47.25,0.6499999999999999
125,125,-89.5,-54.5,,,,-47.25,0.6499999999999999
126,126,-89.5,-53.5,,,,-47.25,0.6499999999999999
127,127,-89.5,-52.5,,,,-47.25,0.6499999999999999
128,128,-89.5,-51.5,,,,-47.3,0.6499999999999999
129,129,-89.5,-50.5,,,,-47.3,0.6499999999999999
130,130,-89.5,-49.5,,,,-47.3,0.6499999999999999
131,131,-89.5,-48.5,,,,-47.3,0.6499999999999999
132,132,-89.5,-47.5,,,,-47.3,0.6499999999999999
133,133,-89.5,-46.5,,,,-47.3,0.6499999999999999
134,134,-89.5,-45.5,,,,-47.3,0.6499999999999999
135,135,-89.5,-44.5,,,,-47.3,0.6499999999999999
136,136,-89.5,-43.5,,,,-47.3,0.6499999999999999
137,137,-89.5,-42.5,,,,-47.3,0.6499999999999999
138,138,-89.5,-41.5,,,,-47.3,0.6499999999999999
139,139,-89.5,-40.5,,,,-47.3,0.6499999999999999
140,140,-89.5,-39.5,,,,-47.3,0.6499999999999999
141,141,-89.5,-38.5,,,,-47.349999999999994,0.6499999999999999
142,142,-89.5,-37.5,,,,-47.349999999999994,0.6499999999999999
143,143,-89.5,-36.5,,,,-47.349999999999994,0.6499999999999999
144,144,-89.5,-35.5,,,,-47.349999999999994,0.6499999999999999
145,145,-89.5,-34.5,,,,-47.4,0.6499999999999999
146,146,-89.5,-33.5,,,,-47.4,0.6499999999999999
147,147,-89.5,-32.5,,,,-47.4,0.6499999999999999
148,148,-89.5,-31.5,,,,-47.4,0.6499999999999999
149,149,-89.5,-30.5,,,,-47.4,0.6499999999999999
150,150,-89.5,-29.5,,,,-47.4,0.7
151,151,-89.5,-28.5,,,,-47.45,0.7
152,152,-89.5,-27.5,,,,-47.45,0.7
153,153,-89.5,-26.5,,,,-47.45,0.7
154,154,-89.5,-25.5,,,,-47.45,0.7
155,155,-89.5,-24.5,,,,-47.45,0.7
156,156,-89.5,-23.5,,,,-47.45,0.7
157,157,-89.5,-22.5,,,,-47.45,0.7
158,158,-89.5,-21.5,,,,-47.45,0.7
159,159,-89.5,-20.5,,,,-47.45,0.7
160,160,-89.5,-19.5,,,,-47.45,0.7
161,161,-89.5,-18.5,,,,-47.45,0.7
162,162,-89.5,-17.5,,,,-47.45,0.7
163,163,-89.5,-16.5,,,,-47.45,0.7
164,164,-89.5,-15.5,,,,-47.45,0.7
165,165,-89.5,-14.5,,,,-47.45,0.7
166,166,-89.5,-13.5,,,,-47.45,0.7
167,167,-89.5,-12.5,,,,-47.45,0.7
168,168,-89.5,-11.5,,,,-47.45,0.7
169,169,-89.5,-10.5,,,,-47.45,0.7
170,170,-89.5,-9.5,,,,-47.45,0.7
171,171,-89.5,-8.5,,,,-47.45,0.7
172,172,-89.5,-7.5,,,,-47.45,0.7
173,173,-89.5,-6.5,,,,-47.45,0.7
174,174,-89.5,-5.5,,,,-47.45,0.7
175,175,-89.5,-4.5,,,,-47.45,0.7
176,176,-89.5,-3.5,,,,-47.45,0.7
177,177,-89.5,-2.5,,,,-47.45,0.7
178,178,-89.5,-1.5,,,,-47.5,0.7
179,179,-89.5,-0.5,,,,-47.5,0.7
180,180,-89.5,0.5,,,,-47.55,0.7
181,181,-89.5,1.5,,,,-47.55,0.7
182,182,-89.5,2.5,,,,-47.55,0.7
183,183,-89.5,3.5,,,,-47.55,0.7
184,184,-89.5,4.5,,,,-47.55,0.7
185,185,-89.5,5.5,,,,-47.55,0.7
186,186,-89.5,6.5,,,,-47.55,0.7
187,187,-89.5,7.5,,,,-47.55,0.7
188,188,-89.5,8.5,,,,-47.55,0.7
189,189,-89.5,9.5,,,,-47.55,0.7
190,190,-89.5,10.5,,,,-47.6,0.7
191,191,-89.5,11.5,,,,-47.6,0.7
192,192,-89.5,12.5,,,,-47.6,0.7
193,193,-89.5,13.5,,,,-47.6,0.7
194,194,-89.5,14.5,,,,-47.6,0.7
195,195,-89.5,15.5,,,,-47.6,0.7
196,196,-89.5,16.5,,,,-47.65,0.75
197,197,-89.5,17.5,,,,-47.65,0.75
198,198,-89.5,18.5,,,,-47.65,0.75
199,199,-89.5,19.5,,,,-47.65,0.75
200,200,-89.5,20.5,,,,-47.65,0.75
201,201,-89.5,21.5,,,,-47.65,0.75
202,202,-89.5,22.5,,,,-47.7,0.75
203,203,-89.5,23.5,,,,-47.7,0.75
204,204,-89.5,24.5,,,,-47.7,0.75
205,205,-89.5,25.5,,,,-47.7,0.75
206,206,-89.5,26.5,,,,-47.7,0.75
207,207,-89.5,27.5,,,,-47.75,0.75
208,208,-89.5,28.5,,,,-47.75,0.75
209,209,-89.5,29.5,,,,-47.75,0.75
210,210,-89.5,30.5,,,,-47.75,0.75
211,211,-89.5,31.5,,,,-47.75,0.75
212,212,-89.5,32.5,,,,-47.85,0.75
213,213,-89.5,33.5,,,,-47.85,0.75
214,214,-89.5,34.5,,,,-47.85,0.75
215,215,-89.5,35.5,,,,-47.85,0.75
216,216,-89.5,36.5,,,,-47.85,0.75
217,217,-89.5,37.5,,,,-47.900000000000006,0.7
218,218,-89.5,38.5,,,,-47.900000000000006,0.7
219,219,-89.5,39.5,,,,-47.95,0.7
220,220,-89.5,40.5,,,,-47.95,0.7
221,221,-89.5,41.5,,,,-47.95,0.7
222,222,-89.5,42.5,,,,-48.0,0.7
223,223,-89.5,43.5,,,,-48.0,0.7
224,224,-89.5,44.5,,,,-48.0,0.7
225,225,-89.5,45.5,,,,-48.05,0.7
226,226,-89.5,46.5,,,,-48.05,0.7
227,227,-89.5,47.5,,,,-48.05,0.7
228,228,-89.5,48.5,,,,-48.05,0.7
229,229,-89.5,49.5,,,,-48.05,0.7
230,230,-89.5,50.5,,,,-48.1,0.7
231,231,-89.5,51.5,,,,-48.1,0.7
232,232,-89.5,52.5,,,,-48.1,0.7
233,233,-89.5,53.5,,,,-48.1,0.7
234,234,-89.5,54.5,,,,-48.1,0.7
235,235,-89.5,55.5,,,,-48.150000000000006,0.7
236,236,-89.5,56.5,,,,-48.150000000000006,0.7
237,237,-89.5,57.5,,,,-48.150000000000006,0.7
238,238,-89.5,58.5,,,,-48.150000000000006,0.7
239,239,-89.5,59.5,,,,-48.150000000000006,0.7
240,240,-89.5,60.5,,,,-48.150000000000006,0.7
241,241,-89.5,61.5,,,,-48.150000000000006,0.7
242,242,-89.5,62.5,,,,-48.1,0.7
243,243,-89.5,63.5,,,,-48.1,0.7
244,244,-89.5,64.5,,,,-48.1,0.7
245,245,-89.5,65.5,,,,-48.1,0.7
246,246,-89.5,66.5,,,,-48.1,0.7
247,247,-89.5,67.5,,,,-48.1,0.7
248,248,-89.5,68.5,,,,-48.05,0.7
249,249,-89.5,69.5,,,,-48.05,0.65
250,250,-89.5,70.5,,,,-48.05,0.65
251,251,-89.5,71.5,,,,-48.0,0.65
252,252,-89.5,72.5,,,,-48.0,0.65
253,253,-89.5,73.5,,,,-48.0,0.65
254,254,-89.5,74.5,,,,-47.95,0.65
255,255,-89.5,75.5,,,,-47.95,0.65
256,256,-89.5,76.5,,,,-47.95,0.65
257,257,-89.5,77.5,,,,-47.900000000000006,0.65
258,258,-89.5,78.5,,,,-47.900000000000006,0.65
259,259,-89.5,79.5,,,,-47.900000000000006,0.65
260,260,-89.5,80.5,,,,-47.85,0.65
261,261,-89.5,81.5,,,,-47.85,0.65
262,262,-89.5,82.5,,,,-47.8,0.65
263,263,-89.5,83.5,,,,-47.8,0.65
264,264,-89.5,84.5,,,,-47.8,0.65
265,265,-89.5,85.5,,,,-47.75,0.65
266,266,-89.5,86.5,,,,-47.75,0.65
267,267,-89.5,87.5,,,,-47.75,0.65
268,268,-89.5,88.5,,,,-47.7,0.6000000000000001
269,269,-89.5,89.5,,,,-47.7,0.6000000000000001
270,270,-89.5,90.5,,,,-47.7,0.6000000000000001
271,271,-89.5,91.5,,,,-47.650000000000006,0.6000000000000001
272,272,-89.5,92.5,,,,-47.650000000000006,0.6000000000000001
273,273,-89.5,93.5,,,,-47.650000000000006,0.6000000000000001
274,274,-89.5,94.5,,,,-47.6,0.6000000000000001
275,275,-89.5,95.5,,,,-47.6,0.6000000000000001
276,276,-89.5,96.5,,,,-47.6,0.6000000000000001
